date,group,period,ic,pvalue
2022-05-05,A,20,0.6503496503496504,0.022034190932365288
2022-05-12,A,20,-0.18181818181818185,0.5717012385276553
2022-05-19,A,20,-0.08391608391608392,0.7954145018538977
2022-05-26,A,20,-0.2937062937062937,0.35414764123292175
2022-06-02,A,20,0.06293706293706294,0.8459309212287789
2022-06-09,A,20,-0.22377622377622378,0.48445166145539886
2022-06-16,A,20,0.0,1.0
2022-06-23,A,20,0.35664335664335667,0.25513775175895714
2022-06-30,A,20,-0.1188811188811189,0.712884219214772
2022-07-07,A,20,0.37762237762237766,0.22620604493502663
2022-07-14,A,20,0.4825174825174825,0.11210929146889191
2022-07-21,A,20,-0.16783216783216784,0.602099427786538
2022-07-28,A,20,0.4265734265734266,0.16669998762494498
2022-08-04,A,20,0.4125874125874127,0.18256397857316675
2022-08-11,A,20,0.2517482517482518,0.42991878503288405
2022-08-18,A,20,0.4769230769230769,0.0846484341946868
2022-08-25,A,20,0.22637362637362637,0.4364347945560526
2022-09-01,A,20,0.2527472527472528,0.3833149644785111
2022-09-08,A,20,0.05054945054945055,0.8637420361792153
2022-09-15,A,20,0.2351648351648352,0.4183338961985912
2022-09-22,A,20,0.410989010989011,0.14433266812460507
2022-09-29,A,20,0.11208791208791209,0.7028331631967695
2022-10-13,A,20,0.4901098901098901,0.07522006672685848
2022-10-20,A,20,0.3230769230769231,0.25987361950878973
2022-10-27,A,20,0.6571428571428571,0.010661967747329804
2022-11-03,A,20,0.5120879120879122,0.06119848615645835
2022-11-10,A,20,0.7010989010989012,0.005211861769946939
2022-11-17,A,20,0.15164835164835166,0.6047905984521367
2022-11-24,A,20,-0.4769230769230769,0.0846484341946868
2022-12-01,A,20,-0.49890109890109896,0.06936352739715487
2022-12-08,A,20,0.002197802197802198,0.9940505286658998
2022-12-15,A,20,-0.49890109890109896,0.06936352739715487
2022-12-22,A,20,0.47252747252747257,0.0879674246125423
2022-12-29,A,20,0.3450549450549451,0.22694868004170046
2023-01-05,A,20,0.4593406593406593,0.09846837616829027
2023-01-12,A,20,0.02857142857142857,0.9227613765698746
2023-01-19,A,20,0.1384615384615385,0.6368849912650183
2023-02-02,A,20,0.2,0.49300373503999984
2023-02-09,A,20,0.16043956043956045,0.5837527526413409
2023-02-16,A,20,-0.621978021978022,0.017550315290540047
2023-02-23,A,20,-0.3626373626373627,0.20256454381724162
2023-03-02,A,20,-0.6351648351648352,0.01465788132728914
2023-03-09,A,20,-0.4813186813186813,0.08141829504280494
2023-03-16,A,20,-0.3450549450549451,0.22694868004170046
2023-03-23,A,20,-0.7406593406593407,0.002445197640446019
2023-03-30,A,20,-0.39780219780219783,0.15895077451083478
2023-04-06,A,20,0.37142857142857144,0.1910208120436164
2023-04-13,A,20,0.5648351648351648,0.03533018486755279
2023-04-20,A,20,0.42857142857142855,0.1262738881593127
2023-04-27,A,20,-0.4945054945054946,0.07224967403413257
2023-05-04,A,20,-0.2967032967032967,0.30296672383870205
2023-05-11,A,20,0.23076923076923075,0.4273358616774501
2023-05-18,A,20,0.3406593406593406,0.23331605103682404
2023-05-25,A,20,0.16483516483516483,0.5733464050131383
2023-06-01,A,20,0.14285714285714285,0.6261174762253241
2023-06-08,A,20,0.14285714285714285,0.6261174762253241
2023-06-15,A,20,0.12087912087912088,0.6806070200628929
