period,regime,total_return,cagr,max_drawdown,sharpe,calmar,volatility,monthly_win_rate,avg_industry_pct,avg_defense_pct,avg_cash_pct,avg_num_positions,num_trades,total_commission,days,scenario
验证期,熊市,0.037275662861441905,0.02469285644431385,-0.19488203111694066,0.6247781399111074,0.12670668661851478,0.19809886943125,0.3125,0.41344935199154126,0.0,0.5865506480084588,1.6496350364963503,112,12759.589909894821,274,D
验证期,震荡,0.2666998245033527,0.1263025278538381,-0.036495803604522335,-0.5546776884760786,3.460741109374763,0.11567867785221225,0.6,0.4776327382654019,0.0,0.522367261734598,1.8888888888888888,155,17855.26082678183,45,D
分析期,弱牛,0.6306683376478506,0.10579560365264329,-0.14303394679297346,0.4711577962294132,0.7396538096356333,0.22203892484205426,0.42857142857142855,0.748567940823954,0.0379286214095285,0.2135034377665175,3.9110169491525424,578,44772.90634367427,236,A
分析期,强牛,0.6598051827605196,0.10741049190224716,-0.1310566621929897,0.9647151575491755,0.8195729244506321,0.24776507243044513,0.6666666666666666,0.7485540597232223,0.10456749634936197,0.14687844392741578,4.279220779220779,589,45839.43435931104,154,A
分析期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,A
分析期,熊市,0.6278456812446502,0.10552656864321808,-0.17332565394909127,0.8364954563394981,0.6088341006589425,0.15331570415621307,0.4186046511627907,0.4198070834994477,0.17052724703912317,0.4096656694614291,2.955777460770328,579,44632.632479571104,701,A
分析期,震荡,0.7134893156918434,0.10528270616587476,-0.15126119556495748,0.1677212947278034,0.6960324871996814,0.18191010912730385,0.5714285714285714,0.569846018903977,0.13662386336748472,0.2935301177285384,3.542056074766355,642,49409.19685640076,214,A
分析期,弱牛,0.5610134543027896,0.09591223531862725,-0.14342788195107575,0.5664829902551632,0.6687140185988634,0.19434046452473916,0.38095238095238093,0.6493149923410021,0.0,0.35068500765899785,3.1440677966101696,376,30193.845134387215,236,B
分析期,强牛,0.5768637046245189,0.09603891333037762,-0.11405730871426917,0.9140352079481378,0.8420233162871626,0.22196276511491045,0.7333333333333333,0.6799861841412317,0.0,0.32001381585876837,3.2857142857142856,387,31239.070582551773,154,B
分析期,未知,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,2,B
分析期,熊市,0.5583183909763196,0.0956355315880899,-0.16203088601567825,0.7210325406905599,0.5902302575746955,0.13582407047293785,0.3953488372093023,0.37465953108138944,0.0,0.6253404689186105,1.8430813124108416,377,30121.087414150155,701,B
