date,scenario,industry_pct,defense_pct,cash_pct,num_industry,num_defense,num_positions,top1_weight,top2_weight,top3_weight,top4_weight,top5_weight,weight_order_top4,score_rank_1_weight,score_rank_2_weight,score_rank_3_weight,score_rank_4_weight,score_rank_1_4_weight,full_position,cash_gt_10pct,cash_gt_20pct
2020-12-04,D,0.9999829933136056,0.0,1.7006686394415643e-05,4,0,4,0.26038511478659226,0.2481657171472899,0.24760852036922126,0.24382364101050216,0.0,0.9999829933136056,0.26038511478659226,0.24382364101050216,0.0,0.24760852036922126,0.7518172761663157,True,False,False
2020-12-07,D,0.9999828908548514,0.0,1.7109145148601073e-05,4,0,4,0.2594799793679571,0.2507910186577809,0.25019089825167,0.2395209945774433,0.0,0.9999828908548514,0.2594799793679571,0.2395209945774433,0.25019089825167,0.0,0.7491918721970704,True,False,False
2020-12-08,D,0.999982876733921,0.0,1.7123266078977304e-05,4,0,4,0.2605194387858028,0.2516766862259257,0.24930586002316477,0.23848089169902772,0.0,0.999982876733921,0.24930586002316477,0.2605194387858028,0.23848089169902772,0.0,0.7483061905079953,True,False,False
2020-12-09,D,0.9999825694121502,0.0,1.7430587849740735e-05,4,0,4,0.2618346958300931,0.24824879952367693,0.24755802118294087,0.24234105287543936,0.0,0.9999825694121502,0.2618346958300931,0.24755802118294087,0.24234105287543936,0.0,0.7517337698884734,True,False,False
2020-12-10,D,0.49921861327466877,0.0,0.5007813867253313,2,0,2,0.2502515799299436,0.24896703334472514,0.0,0.0,0.0,0.49921861327466877,0.24896703334472514,0.2502515799299436,0.0,0.0,0.49921861327466877,False,True,True
2020-12-11,D,0.49573870611886084,0.0,0.504261293881139,2,0,2,0.25110143447039873,0.24463727164846208,0.0,0.0,0.0,0.49573870611886084,0.24463727164846208,0.25110143447039873,0.0,0.0,0.49573870611886084,False,True,True
2020-12-14,D,0.5009209641668365,0.0,0.49907903583316354,2,0,2,0.25457731734689565,0.24634364681994086,0.0,0.0,0.0,0.5009209641668365,0.25457731734689565,0.0,0.24634364681994086,0.0,0.5009209641668365,False,True,True
2020-12-15,D,0.5005891522725195,0.0,0.4994108477274804,2,0,2,0.2531926082138721,0.24739654405864747,0.0,0.0,0.0,0.5005891522725195,0.2531926082138721,0.0,0.24739654405864747,0.0,0.5005891522725195,False,True,True
2020-12-16,D,0.5011932149699794,0.0,0.4988067850300207,2,0,2,0.2560940009715415,0.24509921399843781,0.0,0.0,0.0,0.5011932149699794,0.2560940009715415,0.0,0.24509921399843781,0.0,0.5011932149699794,False,True,True
2020-12-17,D,0.5094328939566968,0.0,0.49056710604330334,2,0,2,0.2569008677756821,0.25253202618101467,0.0,0.0,0.0,0.5094328939566968,0.25253202618101467,0.2569008677756821,0.0,0.0,0.5094328939566968,False,True,True
