date,ticker,is_defense,is_gold,is_bond,shares,close_prev,close_t,contribution,market_value,scenario
2023-03-30,512480.SH,False,False,False,313100,0.960000,0.969000,0.001865,300576.000000,B0.4
2023-03-31,515880.SH,False,False,False,909300,0.346557,0.354221,0.004647,315124.245570,B0.4
2023-03-31,511010.SH,True,False,True,2100,126.794000,126.804000,0.000014,266267.400000,B0.4
2023-03-31,515230.SH,False,False,False,300100,1.055000,1.120000,0.013007,316605.500000,B0.4
2023-03-31,512980.SH,False,False,False,373100,0.799000,0.846000,0.011693,298106.900000,B0.4
2023-03-31,512480.SH,False,False,False,313100,0.969000,0.977000,0.001670,303393.900000,B0.4
2023-04-03,515880.SH,False,False,False,909300,0.354221,0.367550,0.007838,322093.339462,B0.4
2023-04-03,511010.SH,True,False,True,2100,126.804000,126.794000,-0.000014,266288.400000,B0.4
2023-04-03,515230.SH,False,False,False,300100,1.120000,1.186000,0.012809,336112.000000,B0.4
2023-04-03,512980.SH,False,False,False,373100,0.846000,0.887000,0.009893,315642.600000,B0.4
2023-04-03,512480.SH,False,False,False,313100,0.977000,1.028000,0.010327,305898.700000,B0.4
2023-04-04,515880.SH,False,False,False,909300,0.367550,0.367550,0.000000,334213.502753,B0.4
2023-04-04,511010.SH,True,False,True,2100,126.794000,126.838000,0.000057,266267.400000,B0.4
2023-04-04,515230.SH,False,False,False,300100,1.186000,1.183000,-0.000559,355918.600000,B0.4
2023-04-04,512980.SH,False,False,False,373100,0.887000,0.882000,-0.001159,330939.700000,B0.4
2023-04-04,512480.SH,False,False,False,313100,1.028000,1.042000,0.002724,321866.800000,B0.4
2023-04-06,515880.SH,False,False,False,909300,0.367550,0.380879,0.007523,334213.502753,B0.4
2023-04-06,511010.SH,True,False,True,2100,126.838000,126.878000,0.000052,266359.800000,B0.4
2023-04-06,515230.SH,False,False,False,300100,1.183000,1.154000,-0.005402,355018.300000,B0.4
2023-04-06,512980.SH,False,False,False,373100,0.882000,0.858000,-0.005558,329074.200000,B0.4
2023-04-06,512480.SH,False,False,False,313100,1.042000,1.089000,0.009134,326250.200000,B0.4
