date,nav,cash,positions_value,industry_value,defense_value,num_positions,bench_price,max_total_position,positions_pct,positions_detail,daily_return,cumulative_return,bench_return,peak,drawdown,regime_id,regime_name,confidence,reason
2024-07-15,1470211.5324057955,902321.5938576827,567889.938548113,299305.938548113,268584.0,2,3476.2467,1.0,"{'511010.SH': 0.18268391593997352, '512800.SH': 0.2035801868989156}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268584.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.64436240855374, 'market_value': 299305.938548113}}",0.0024183691481758363,0.4702115324057956,-0.051696030131884174,1650728.8366866494,-0.10935612213765467,4.0,熊市,0.8740653438450189,沪深300低于MA50 97.52%，中期趋势向下；MA50斜率向下（-2.3220）；市场宽度低（25% 行业ETF站上MA50）
2024-07-16,1469061.8869359042,902321.5938576827,566740.2930782216,298158.29307822156,268582.0,2,3498.2827,1.0,"{'511010.SH': 0.18282551769156227, '512800.SH': 0.2029582931322963}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268582.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65186662915025, 'market_value': 298158.29307822156}}",-0.0007819592246091078,0.4690618869359042,-0.04568471157960374,1650728.8366866494,-0.11005256933379073,4.0,熊市,0.8651497796564181,沪深300低于MA50 97.70%，中期趋势向下；MA50斜率向下（-3.0302）；市场宽度低（25% 行业ETF站上MA50）
2024-07-17,1471650.70696967,902321.5938576827,569329.1131119872,300683.11311198724,268646.0,2,3501.5836,1.0,"{'511010.SH': 0.18254739302451656, '512800.SH': 0.20431690188980706}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268646.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65186662915025, 'market_value': 300683.11311198724}}",0.0017622266677719267,0.47165070696967004,-0.04478424137588155,1650728.8366866494,-0.1084842802385556,4.0,熊市,0.729770915476317,沪深300低于MA50 98.40%，中期趋势向下；MA50斜率向下（-2.5630）
2024-07-18,1474305.793767735,608146.9679376826,866158.8258300524,597594.8258300524,268564.0,3,3520.931,1.0,"{'511010.SH': 0.18216302285135705, '512800.SH': 0.2034818876098876, '516110.SH': 0.20185791933941524}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268564.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65286719189645, 'market_value': 299994.5258300524}, '516110.SH': {'shares': 270300, 'cost': 1.088, 'entry_date': '2024-07-18', 'high_water': 1.088, 'market_value': 297600.3}}",0.0018041555550447619,0.47430579376773485,-0.039506360428414156,1650728.8366866494,-0.10687584720033826,4.0,熊市,0.8207627279641503,沪深300低于MA50 98.58%，中期趋势向下；MA50斜率向下（-3.1919）；市场宽度低（25% 行业ETF站上MA50）
2024-07-19,1471409.2773918174,608146.9679376826,863262.3094541347,594514.3094541347,268748.0,3,3539.0156,1.0,"{'511010.SH': 0.1826466667903412, '512800.SH': 0.2032584774674453, '516110.SH': 0.20078567162746563}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.356, 'market_value': 268748.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 299076.4094541347}, '516110.SH': {'shares': 270300, 'cost': 1.088, 'entry_date': '2024-07-18', 'high_water': 1.101, 'market_value': 295437.89999999997}}",-0.0019646645819081376,0.4714092773918175,-0.03457296546151578,1650728.8366866494,-0.10863053659059049,4.0,熊市,0.7904749293486383,沪深300低于MA50 99.19%，中期趋势向下；MA50斜率向下（-3.1485）；市场宽度低（19% 行业ETF站上MA50）
2024-07-22,1468792.966418269,608146.9679376826,860645.9984805863,591315.9984805863,269330.0,3,3514.9249,1.0,"{'511010.SH': 0.18336825281562708, '512800.SH': 0.20033885320008452, '516110.SH': 0.20224749627198726}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.516, 'market_value': 269330.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 294256.29848058627}, '516110.SH': {'shares': 270300, 'cost': 1.088, 'entry_date': '2024-07-18', 'high_water': 1.101, 'market_value': 297059.7}}",-0.0017780987341509125,0.46879296641826906,-0.041144796639924985,1650728.8366866494,-0.11021547950513956,4.0,熊市,0.7614725532920272,沪深300低于MA50 99.77%，中期趋势向下；MA50斜率向下（-2.1858）；市场宽度低（25% 行业ETF站上MA50）
2024-07-23,1461565.915546013,608146.9679376826,853418.9476083303,583798.9476083302,269620.0,3,3439.8779,1.0,"{'511010.SH': 0.1844733768981436, '512800.SH': 0.20321399428459763, '516110.SH': 0.19621988782685956}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.788, 'market_value': 269620.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 297010.6476083302}, '516110.SH': {'shares': 270300, 'cost': 1.088, 'entry_date': '2024-07-18', 'high_water': 1.101, 'market_value': 286788.3}}",-0.004920401334627567,0.461565915546013,-0.06161727001953077,1650728.8366866494,-0.11459357644731342,4.0,熊市,0.7911986302276245,沪深300低于MA50 99.18%，中期趋势向下；MA50斜率向下（-2.5109）；市场宽度低（25% 行业ETF站上MA50）
2024-07-24,1454771.6446399912,608146.9679376826,846624.6767023085,577000.6767023085,269624.0,3,3418.1663,1.0,"{'511010.SH': 0.1853376789363551, '512800.SH': 0.20432084842832204, '516110.SH': 0.19230543915999385}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.821, 'market_value': 269624.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 297240.1767023084}, '516110.SH': {'shares': 270300, 'cost': 1.088, 'entry_date': '2024-07-18', 'high_water': 1.101, 'market_value': 279760.5}}",-0.004648624351289432,0.4547716446399912,-0.06754009375703729,1650728.8366866494,-0.11870949830862852,4.0,熊市,0.8909092868668409,沪深300低于MA50 97.18%，中期趋势向下；MA50斜率向下（-3.0270）；市场宽度低（12% 行业ETF站上MA50）
2024-07-25,1450081.8349922472,885932.0074176827,564149.8275745645,294485.8275745645,269664.0,2,3399.2716,1.0,"{'511010.SH': 0.18596467695317467, '512800.SH': 0.20308221265052875}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.821, 'market_value': 269664.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 294485.8275745645}}",-0.0032237428224720643,0.4500818349922471,-0.07269448024504654,1650728.8366866494,-0.12155055223796889,4.0,熊市,0.9150526610676688,沪深300低于MA50 96.70%，中期趋势向下；MA50斜率向下（-4.4963）；市场宽度低（12% 行业ETF站上MA50）
2024-07-26,1446068.3113006335,885932.0074176827,560136.3038829509,290354.3038829509,269782.0,2,3409.2931,1.0,"{'511010.SH': 0.18656241748175137, '512800.SH': 0.20078878820171248}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.848, 'market_value': 269782.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 290354.3038829509}}",-0.002767791165134592,0.4460683113006334,-0.0699606615451156,1650728.8366866494,-0.123981916858502,4.0,熊市,0.9356014322308579,沪深300低于MA50 96.29%，中期趋势向下；MA50斜率向下（-4.7776）；市场宽度低（12% 行业ETF站上MA50）
2024-07-29,1450153.8349922472,885932.0074176827,564221.8275745645,294485.8275745645,269736.0,2,3390.742,1.0,"{'511010.SH': 0.18600509372955046, '512800.SH': 0.20307212963798346}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.904, 'market_value': 269736.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 294485.8275745645}}",0.0028252632740004557,0.45015383499224715,-0.07502131554743952,1650728.8366866494,-0.12150693514084196,4.0,熊市,0.9150788540575464,沪深300低于MA50 96.70%，中期趋势向下；MA50斜率向下（-4.5357）；市场宽度低（19% 行业ETF站上MA50）
2024-07-30,1448816.660428373,885932.0074176827,562884.6530106902,293108.65301069024,269776.0,2,3369.3821,1.0,"{'511010.SH': 0.18620437448602717, '512800.SH': 0.20230900224741102}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.904, 'market_value': 269776.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 293108.65301069024}}",-0.0009220915268491892,0.448816660428373,-0.08084819715684488,1650728.8366866494,-0.12231698615234439,4.0,熊市,0.9335396289316942,沪深300低于MA50 96.33%，中期趋势向下；MA50斜率向下（-4.6213）；市场宽度低（12% 行业ETF站上MA50）
2024-07-31,1448781.1313343947,885932.0074176827,562849.1239167119,292879.12391671195,269970.0,2,3442.0844,1.0,"{'511010.SH': 0.18634284652185185, '512800.SH': 0.20215553445740744}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 134.954, 'market_value': 269970.0}, '512800.SH': {'shares': 458800, 'cost': 0.63785875070343, 'entry_date': '2024-07-11', 'high_water': 0.65336747326956, 'market_value': 292879.12391671195}}",-2.4522836428286787e-05,0.4487811313343948,-0.061015347057758684,1650728.8366866494,-0.12233850942932883,4.0,熊市,0.95,沪深300低于MA50 95.90%，中期趋势向下；MA50斜率向下（-5.7446）；市场宽度低（19% 行业ETF站上MA50）
2024-08-01,1446905.6803457793,308943.81154577923,1137961.8688,867539.8688,270422.0,4,3419.2666,1.0,"{'511010.SH': 0.1868967712777069, '512660.SH': 0.20097979014810788, '512000.SH': 0.20040007025938678, '516160.SH': 0.19820301536964421}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 135.078, 'market_value': 270422.0}, '512660.SH': {'shares': 315400, 'cost': 0.918, 'entry_date': '2024-08-01', 'high_water': 0.918, 'market_value': 290798.8}, '512000.SH': {'shares': 724900, 'cost': 0.3995, 'entry_date': '2024-08-01', 'high_water': 0.3995, 'market_value': 289960.0}, '516160.SH': {'shares': 166000, 'cost': 1.7437728, 'entry_date': '2024-08-01', 'high_water': 1.7437728, 'market_value': 286781.0688}}",-0.0012945026326288689,0.4469056803457794,-0.06723993702246323,1650728.8366866494,-0.12347464453942955,4.0,熊市,0.7451234923060034,沪深300低于MA50 98.10%，中期趋势向下；MA50斜率向下（-6.4316）
2024-08-02,1434198.9415457791,308943.81154577923,1125255.13,854431.1299999999,270824.0,4,3384.3919,1.0,"{'511010.SH': 0.1888329381334684, '512660.SH': 0.20078121079188402, '512000.SH': 0.1983847859302845, '516160.SH': 0.1965889611493625}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 135.294, 'market_value': 270824.0}, '512660.SH': {'shares': 315400, 'cost': 0.918, 'entry_date': '2024-08-01', 'high_water': 0.918, 'market_value': 287960.2}, '512000.SH': {'shares': 724900, 'cost': 0.3995, 'entry_date': '2024-08-01', 'high_water': 0.3995, 'market_value': 284523.25}, '516160.SH': {'shares': 166000, 'cost': 1.7437728, 'entry_date': '2024-08-01', 'high_water': 1.7437728, 'market_value': 281947.68}}",-0.008782009064311369,0.4341989415457792,-0.07675359336277976,1650728.8366866494,-0.13117229815618298,4.0,熊市,0.8702624041138677,沪深300低于MA50 97.59%，中期趋势向下；MA50斜率向下（-4.6815）；市场宽度低（25% 行业ETF站上MA50）
2024-08-05,1420656.8755457792,308943.81154577923,1111713.064,840787.064,270926.0,4,3343.3205,1.0,"{'511010.SH': 0.19070473994356824, '512660.SH': 0.19625681950322246, '512000.SH': 0.19900019833528756, '516160.SH': 0.19657277475443508}","{'511010.SH': {'shares': 2000, 'cost': 129.895, 'entry_date': '2023-12-14', 'high_water': 135.418, 'market_value': 270926.0}, '512660.SH': {'shares': 315400, 'cost': 0.918, 'entry_date': '2024-08-01', 'high_water': 0.918, 'market_value': 278813.6}, '512000.SH': {'shares': 724900, 'cost': 0.3995, 'entry_date': '2024-08-01', 'high_water': 0.3995, 'market_value': 282711.0}, '516160.SH': {'shares': 166000, 'cost': 1.7437728, 'entry_date': '2024-08-01', 'high_water': 1.7437728, 'market_value': 279262.464}}",-0.009442250728064483,0.42065687554577935,-0.08795768071021726,1650728.8366866494,-0.1393759871564803,4.0,熊市,0.9129256705629727,沪深300低于MA50 96.74%，中期趋势向下；MA50斜率向下（-5.3037）；市场宽度低（25% 行业ETF站上MA50）
