date,159530.SZ,159697.SZ,159865.SZ,159928.SZ,159996.SZ,511010.SH,512000.SH,512010.SH,512400.SH,512480.SH,512660.SH,512800.SH,512980.SH,515230.SH,515880.SH,516110.SH,516160.SH,518880.SH,000300.SH,status
2019-12-20,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-23,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-24,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-25,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-26,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-27,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-30,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2019-12-31,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-02,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-03,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-06,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-07,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-08,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-09,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-10,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
2020-01-13,MISSING,MISSING,MISSING,OK,MISSING,OK,OK,OK,OK,OK,OK,OK,OK,MISSING,OK,MISSING,MISSING,OK,OK,FAIL
