date,year,ret_a,ret_c,diff_ret,ind_pct_a,def_pct_a,ind_pct_c,def_pct_c,n_ind_a,n_ind_c,n_def_a,n_def_c,has_5th_a,has_5th_c,has_def_c,regime_name
2021-06-16,2021,-0.027184171936740054,-0.02497352791597418,0.002210644020765873,0.9999350748356857,0.0,0.8130187470392843,0.0,5,4,0,0,True,False,False,弱牛
2021-06-17,2021,0.028699633697186755,0.027842431993142958,-0.0008572017040437974,0.6123699058281279,0.0,0.6133608836255461,0.0,3,3,0,0,False,False,False,弱牛
2021-06-18,2021,0.0027024579574368435,0.0027487128018730544,4.6254844436210973e-05,0.6134146365198933,0.0,0.6144207303003066,0.0,3,3,0,0,False,False,False,弱牛
2021-06-21,2021,0.00459447242145683,0.004570718447998834,-2.3753973457996125e-05,0.6151826691338564,0.0,0.6161750859159122,0.0,3,3,0,0,False,False,False,弱牛
2021-06-22,2021,-0.0038329744245313435,-0.0038231810639405284,9.793360590815148e-06,0.613701998774913,0.0,0.6147020219823809,0.0,3,3,0,0,False,False,False,弱牛
2021-06-23,2021,0.012558816798991845,0.012685009016315751,0.00012619221732390606,0.6184932718809432,0.0,0.6195283088155089,0.0,3,3,0,0,False,False,False,弱牛
2021-06-24,2021,-0.011778922081253307,-0.0115022983151013,0.00027662376615200657,0.9999184080522662,0.0,0.8174112465899744,0.0,5,4,0,0,True,False,False,弱牛
2021-06-25,2021,0.00533529388505305,0.0026783316902561083,-0.0026569621947969413,0.9999188410590675,0.0,0.8178989735399705,0.0,5,4,0,0,True,False,False,弱牛
2021-06-28,2021,0.014113817302673803,0.011146732806909032,-0.0029670844957647713,0.9999199705796846,0.0,0.8199064284621449,0.0,5,4,0,0,True,False,False,弱牛
2021-06-29,2021,-0.007160391457480597,-0.010104671258342579,-0.002944279800861982,0.9999193934049097,0.0,0.8180680660784734,0.0,5,4,0,0,True,False,False,弱牛
2021-06-30,2021,0.024008335631807043,0.02029007189496368,-0.0037182637368433635,0.9999212832627573,0.0,0.8216860685671202,0.0,5,4,0,0,True,False,False,震荡
