date,ticker,action,price,shares,amount,commission,pnl_pct,reason
2024-04-25,159697.SZ,SELL,1.05,278000,291900.0,87.57,-0.011299435028248596,调出候选列表
2024-04-25,159996.SZ,BUY,1.159,253300,293574.7,88.07240999999999,0.0,行业买入
2024-04-25,512800.SH,BUY,0.59883680360158,490300,293609.6848058547,88.0829054417564,0.0,行业买入
2024-05-09,159530.SZ,BUY,1.057,282300,298391.1,89.51732999999999,0.0,行业买入
2024-05-09,159865.SZ,BUY,0.645,462700,298441.5,89.53245,0.0,行业买入
2024-05-23,159530.SZ,SELL,1.022,282300,288510.6,86.55317999999998,-0.03311258278145688,调出候选列表
2024-05-23,159928.SZ,BUY,0.902,335300,302440.60000000003,90.73218,0.0,行业买入
2024-05-30,159996.SZ,SELL,1.212,253300,306999.6,92.09987999999998,0.04572907679033644,调出候选列表
2024-05-30,159928.SZ,SELL,0.877,335300,294058.1,88.21742999999998,-0.027716186252771644,调出候选列表
2024-06-06,512800.SH,SELL,0.6168469330332,490300,302440.05126617796,90.73201537985338,0.030075187969914114,调出候选列表
2024-06-06,159865.SZ,SELL,0.641,462700,296590.7,88.97721,-0.006201550387596904,调出候选列表
2024-06-13,512480.SH,BUY,0.734,400600,294040.4,88.21212,0.0,行业买入
2024-06-27,512480.SH,SELL,0.714,400600,286028.39999999997,85.80851999999999,-0.02724795640326978,调出候选列表
2024-07-11,512800.SH,BUY,0.63785875070343,458800,292649.59482273366,87.79487844682009,0.0,行业买入
2024-07-18,516110.SH,BUY,1.088,270300,294086.4,88.22592,0.0,行业买入
2024-07-25,516110.SH,SELL,1.028,270300,277868.4,83.36052,-0.05514705882352946,调出候选列表
2024-08-01,512800.SH,SELL,0.63635790658413,458800,291961.00754079886,87.58830226223965,-0.0023529411764670947,调出候选列表
2024-08-01,512660.SH,BUY,0.918,315400,289537.2,86.86116,0.0,行业买入
2024-08-01,512000.SH,BUY,0.3995,724900,289597.55,86.87926499999999,0.0,行业买入
2024-08-01,516160.SH,BUY,1.7437728,166000,289466.28479999996,86.83988543999997,0.0,行业买入
2024-08-08,516160.SH,SELL,1.7114208,166000,284095.8528,85.22875583999999,-0.018552875695732805,调出候选列表
2024-08-08,512010.SH,BUY,0.335,854600,286291.0,85.8873,0.0,行业买入
2024-08-15,512660.SH,SELL,0.863,315400,272190.2,81.65706,-0.05991285403050114,调出候选列表
2024-08-15,512010.SH,SELL,0.327,854600,279454.2,83.83626,-0.023880597014925394,调出候选列表
2024-08-22,511010.SH,SELL,134.992,2000,269984.0,80.9952,0.039239385657646404,调出候选列表
2024-08-22,512000.SH,SELL,0.386,724900,279811.4,83.94342,-0.033792240300375496,调出候选列表
2024-08-22,512800.SH,BUY,0.65386775464266,430600,281555.4551491294,84.4666365447388,0.0,行业买入
2024-08-22,518880.SH,BUY,5.535,50800,281178.0,84.3534,0.0,防御填充
2024-09-05,512800.SH,SELL,0.6153460889139,430600,264968.02588632534,79.4904077658976,-0.05891354246366255,调出候选列表
2024-09-05,518880.SH,SELL,5.483,50800,278536.39999999997,83.56091999999998,-0.009394760614272898,调出候选列表
2024-09-05,511010.SH,BUY,135.732,2000,271464.0,81.4392,0.0,防御填充
2024-09-12,516110.SH,BUY,1.048,265000,277720.0,83.31599999999999,0.0,行业买入
2024-09-26,159996.SZ,BUY,1.133,246300,279057.9,83.71737,0.0,行业买入
2024-09-26,512000.SH,BUY,0.4195,665400,279135.3,83.74058999999998,0.0,行业买入
2024-09-26,515230.SH,BUY,0.541,516000,279156.0,83.7468,0.0,行业买入
2024-10-10,511010.SH,SELL,135.344,2000,270688.0,81.20639999999999,-0.002858574249255925,调出候选列表
2024-10-10,518880.SH,BUY,5.647,45700,258067.90000000002,77.42037,0.0,防御填充
2024-11-07,516110.SH,SELL,1.239,265000,328335.0,98.50049999999999,0.1822519083969466,调出候选列表
2024-11-07,159996.SZ,SELL,1.318,246300,324623.4,97.38701999999999,0.1632833186231245,调出候选列表
2024-11-07,518880.SH,SELL,5.865,5500,32257.5,9.677249999999999,0.03860456879759164,防御减持让路
2024-11-07,512480.SH,BUY,1.009,346000,349113.99999999994,104.73419999999997,0.0,行业买入
2024-11-07,512660.SH,BUY,1.143,305400,349072.2,104.72166,0.0,行业买入
2024-11-14,518880.SH,SELL,5.724,40200,230104.80000000002,69.03144,0.01363555870373649,调出候选列表
2024-11-14,511010.SH,BUY,136.457,1600,218331.19999999998,65.49936,0.0,防御填充
2024-11-21,512000.SH,SELL,0.5835,665400,388260.9,116.47827,0.3909415971394518,调出候选列表
2024-11-21,515230.SH,SELL,0.83,516000,428280.0,128.48399999999998,0.5341959334565618,调出候选列表
2024-11-21,512480.SH,SELL,1.014,346000,350844.0,105.25319999999999,0.004955401387512504,调出候选列表
2024-11-21,512660.SH,SELL,1.092,305400,333496.80000000005,100.04904,-0.04461942257217842,调出候选列表
2024-11-21,516110.SH,BUY,1.284,269600,346166.4,103.84992,0.0,行业买入
2024-11-21,159530.SZ,BUY,1.195,289700,346191.5,103.85744999999999,0.0,行业买入
2024-11-28,516110.SH,SELL,1.23,269600,331608.0,99.4824,-0.04205607476635518,调出候选列表
2024-11-28,159530.SZ,SELL,1.139,289700,329968.3,98.99049,-0.046861924686192505,调出候选列表
2024-11-28,512980.SH,BUY,0.815,417100,339936.5,101.98094999999999,0.0,行业买入
2024-12-12,159530.SZ,BUY,1.254,275200,345100.8,103.53023999999999,0.0,行业买入
2024-12-12,512800.SH,BUY,0.71440180078784,483200,345198.95014068426,103.55968504220527,0.0,行业买入
2024-12-19,512980.SH,SELL,0.834,417100,347861.39999999997,104.35841999999998,0.023312883435582844,调出候选列表
2024-12-19,159530.SZ,SELL,1.178,275200,324185.6,97.25567999999998,-0.060606060606060656,调出候选列表
2024-12-26,159996.SZ,BUY,1.346,253000,340538.0,102.16139999999999,0.0,行业买入
2024-12-26,512480.SH,BUY,1.043,326500,340539.5,102.16184999999999,0.0,行业买入
2024-12-26,515880.SH,BUY,0.46351993670886,734700,340548.09749999945,102.16442924999983,0.0,行业买入
2025-01-02,159996.SZ,SELL,1.334,253000,337502.0,101.25059999999999,-0.00891530460624072,调出候选列表
2025-01-02,512480.SH,SELL,1.003,326500,327479.49999999994,98.24384999999998,-0.03835091083413235,调出候选列表
2025-01-02,515880.SH,SELL,0.45052405063291,734700,331000.01999999897,99.30000599999968,-0.028037383177571464,调出候选列表
2025-01-02,159697.SZ,BUY,1.049,319800,335470.19999999995,100.64105999999998,0.0,行业买入
2025-01-02,516110.SH,BUY,1.273,263500,335435.5,100.63064999999999,0.0,行业买入
2025-01-09,512800.SH,SELL,0.73841530669668,483200,356802.2761958358,107.04068285875073,0.03361344537815831,调出候选列表
2025-01-09,159697.SZ,SELL,1.033,319800,330353.39999999997,99.10601999999999,-0.015252621544327946,调出候选列表
2025-01-09,516110.SH,SELL,1.218,263500,320943.0,96.2829,-0.04320502749410836,调出候选列表
2025-01-16,511010.SH,SELL,138.553,1600,221684.8,66.50544,0.015360150083909244,调出候选列表
2025-01-16,518880.SH,BUY,6.139,53900,330892.10000000003,99.26763,0.0,防御填充
2025-01-23,159530.SZ,BUY,1.221,271300,331257.30000000005,99.37719,0.0,行业买入
2025-01-23,159996.SZ,BUY,1.35,245400,331290.0,99.38699999999999,0.0,行业买入
2025-01-23,516110.SH,BUY,1.271,260700,331349.69999999995,99.40490999999997,0.0,行业买入
2025-02-06,159996.SZ,SELL,1.331,245400,326627.39999999997,97.98821999999998,-0.014074074074074168,调出候选列表
2025-02-06,516110.SH,SELL,1.273,260700,331871.1,99.56132999999998,0.001573564122738003,调出候选列表
2025-02-06,512400.SH,BUY,1.0240704225352,326400,334256.5859154893,100.27697577464679,0.0,行业买入
2025-02-13,518880.SH,SELL,6.564,4800,31507.2,9.45216,0.06922951620785141,防御减持让路
2025-02-13,512480.SH,BUY,1.095,312300,341968.5,102.59055,0.0,行业买入
2025-02-13,512660.SH,BUY,1.036,330100,341983.60000000003,102.59508,0.0,行业买入
2025-02-20,512400.SH,SELL,1.0181280409731,326400,332316.9925736198,99.69509777208594,-0.005802707930367723,调出候选列表
2025-02-20,512660.SH,SELL,1.016,330100,335381.6,100.61447999999999,-0.019305019305019322,调出候选列表
2025-02-20,518880.SH,SELL,6.61,2800,18508.0,5.5524,0.07672259325623067,防御减持让路
2025-02-20,516110.SH,BUY,1.352,253700,343002.4,102.90071999999999,0.0,行业买入
2025-02-20,159996.SZ,BUY,1.381,248400,343040.4,102.91212,0.0,行业买入
2025-03-06,518880.SH,SELL,6.53,46300,302339.0,90.70169999999999,0.06369115491122333,调出候选列表
2025-03-06,516110.SH,SELL,1.321,253700,335137.7,100.54131,-0.022928994082840336,调出候选列表
